Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
165433,USB-C Charging Cable,1,11.95,04/23/19 15:14,"786 10th St, Noida, Hr 132500"
165434,USB-C Charging Cable,1,11.95,04/29/19 11:03,"115 7th St, Surat, GU 129870"
165434,34in Ultrawide Monitor,1,379.99,04/29/19 11:03,"115 7th St, Surat, GU 129870"
165435,Flatscreen TV,1,300.0,04/15/19 21:41,"31 North St, Bengaluru, Ch 123589"
165436,AA Batteries (4-pack),1,3.84,04/30/19 19:08,"382 Dadabhai Naoroji Road St, Rewari, Hr 123500"
165437,AAA Batteries (4-pack),1,2.99,04/13/19 11:01,"801 Forest St, Bengaluru, Ch 123589"
165438,Wired Headphones,1,11.99,04/25/19 14:43,"962 River St, Rewari, Hr 123500"
165439,Bose SoundSport Headphones,1,99.99,04/29/19 18:35,"198 14th St, Kolkata, TL 135523"
165440,Wired Headphones,1,11.99,04/14/19 10:54,"787 Cherry St, Rewari, Hr 123500"
165441,Lightning Charging Cable,1,14.95,04/14/19 20:19,"569 Commercial Street St, Surat, GU 129870"
165442,20in Monitor,1,109.99,04/19/19 16:18,"111 Hazratganj St, Pune, MH 123249"
165443,AAA Batteries (4-pack),1,2.99,04/09/19 18:11,"882 Commercial Street St, Noida, UP 123512"
165444,USB-C Charging Cable,1,11.95,04/12/19 16:50,"547 Meadow St, Noida, UP 123512"
165444,34in Ultrawide Monitor,1,379.99,04/12/19 16:50,"547 Meadow St, Noida, UP 123512"
165445,34in Ultrawide Monitor,1,379.99,04/30/19 18:08,"240 Rajpath St, Rewari, Hr 123500"
165446,USB-C Charging Cable,1,11.95,04/02/19 12:45,"970  Fontainhas St, Rewari, Hr 123500"
165447,USB-C Charging Cable,1,11.95,04/02/19 13:45,"465 5th St, Noida, UP 123512"
165448,Bose SoundSport Headphones,1,99.99,04/12/19 17:50,"580 River St, Rewari, Hr 123500"
165449,Bose SoundSport Headphones,1,99.99,04/04/19 13:27,"896 Hill St, Bengaluru, Ch 123589"
165450,27in FHD Monitor,1,149.99,04/18/19 18:53,"239 11th St, Kolkata, TL 135523"
165451,AA Batteries (4-pack),1,3.84,04/20/19 13:36,"591 Cherry St, Noida, Hr 132500"
165452,Bose SoundSport Headphones,1,99.99,04/19/19 17:51,"99 1st St, Noida, Hr 132500"
165453,USB-C Charging Cable,1,11.95,04/30/19 13:55,"804 Elm St, Ahmedabad, GU 128700"
165454,USB-C Charging Cable,1,11.95,04/21/19 11:33,"958 Center St, Surat, GU 129870"
