Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
208409,Macbook Pro Laptop,1,1700.0,08/03/19 19:46,"303 Maple St, New Delhi, Dl 122400"
208410,USB-C Charging Cable,1,11.95,08/30/19 12:57,"119 14th St, Pune, MH 123249"
208411,Apple Airpods Headphones,1,150.0,08/03/19 16:17,"904 11th St, Noida, UP 123512"
208412,USB-C Charging Cable,1,11.95,08/04/19 14:57,"92 Dadabhai Naoroji Road St, Pune, MH 123249"
208413,Apple Airpods Headphones,1,150.0,08/27/19 23:50,"421 Sunset St, New Delhi, Dl 122400"
208414,USB-C Charging Cable,1,11.95,08/16/19 23:42,"126 Lake St, New Delhi, Dl 122400"
208415,USB-C Charging Cable,1,11.95,08/27/19 21:14,"670 Sitabuldi Main Road St, Rewari, Hr 123500"
208416,USB-C Charging Cable,1,11.95,08/14/19 15:32,"690 Rajpath St, New Delhi, Dl 122400"
208417,AAA Batteries (4-pack),2,2.99,08/13/19 17:13,"586  Fontainhas St, Surat, GU 129870"
208418,27in 4K Gaming Monitor,1,389.99,08/19/19 02:14,"634 4th St, Bengaluru, Ch 123589"
208419,Lightning Charging Cable,1,14.95,08/11/19 09:20,"998 Forest St, Pune, MH 123249"
208420,AA Batteries (4-pack),1,3.84,08/19/19 16:39,"795 4th St, Rewari, Hr 123500"
208421,iPhone,1,700.0,08/20/19 08:49,"462 Ridge St, Indore, In 126756"
208422,Lightning Charging Cable,1,14.95,08/25/19 15:38,"982 Park St, Kolkata, TL 135523"
208423,Flatscreen TV,1,300.0,08/03/19 17:52,"374 8th St, Kolkata, TL 135523"
208424,20in Monitor,1,109.99,08/23/19 20:12,"448 10th St, Bengaluru, Ch 123589"
208425,Apple Airpods Headphones,1,150.0,08/13/19 12:56,"691 8th St, Rewari, Hr 123500"
208426,20in Monitor,1,109.99,08/07/19 17:40,"571 13th St, Rewari, Hr 123500"
208427,27in FHD Monitor,1,149.99,08/31/19 12:37,"11 MG Road Bangalore St, Rewari, Hr 123500"
208428,ThinkPad Laptop,1,999.99,08/18/19 09:49,"70 MG Road Bangalore St, Surat, GU 129870"
208428,Lightning Charging Cable,1,14.95,08/18/19 09:49,"70 MG Road Bangalore St, Surat, GU 129870"
208429,Wired Headphones,1,11.99,08/12/19 10:49,"55 12th St, Bengaluru, Ch 123589"
208430,Wired Headphones,1,11.99,08/13/19 17:56,"938 7th St, Rewari, Hr 123500"
208431,Bose SoundSport Headphones,1,99.99,08/29/19 20:32,"108 5th St, Rewari, Hr 123500"
208432,Flatscreen TV,1,300.0,08/21/19 20:57,"631 Willow St, Bengaluru, Ch 123589"
208433,Bose SoundSport Headphones,1,99.99,08/28/19 12:40,"731 Ridge St, Rewari, Hr 123500"
208434,USB-C Charging Cable,1,11.95,08/13/19 17:52,"333 14th St, Pune, MH 123249"
208435,Apple Airpods Headphones,1,150.0,08/19/19 22:07,"720 Main St, Bengaluru, Ch 123589"
208436,27in FHD Monitor,1,149.99,08/29/19 20:46,"569 Lakeview St, Bengaluru, Ch 123589"
208437,Lightning Charging Cable,1,14.95,08/02/19 13:04,"597 Park St, Rewari, Hr 123500"
208438,Apple Airpods Headphones,1,150.0,08/06/19 00:48,"842 Park St, Noida, Hr 132500"
208439,Wired Headphones,1,11.99,08/27/19 13:15,"75 Dadabhai Naoroji Road St, Noida, Hr 132500"
208440,iPhone,1,700.0,08/20/19 23:34,"174 Connaught Place St, Kolkata, TL 135523"
208441,AAA Batteries (4-pack),1,2.99,08/04/19 16:00,"700 Center St, Bengaluru, Ch 123589"
208442,34in Ultrawide Monitor,1,379.99,08/16/19 22:10,"41 Sunset St, New Delhi, Dl 122400"
208443,Apple Airpods Headphones,1,150.0,08/15/19 17:07,"356 Main St, Rewari, Hr 123500"
208444,AA Batteries (4-pack),2,3.84,08/12/19 10:38,"506 Rajpath St, Rewari, Hr 123500"
208445,20in Monitor,1,109.99,08/24/19 14:29,"442 Dadabhai Naoroji Road St, New Delhi, Dl 122400"
208446,Lightning Charging Cable,1,14.95,08/24/19 05:09,"808 Lakeview St, Noida, UP 123512"
208447,AA Batteries (4-pack),2,3.84,08/27/19 19:07,"509 Cherry St, New Delhi, Dl 122400"
208448,iPhone,1,700.0,08/14/19 10:37,"687 Lake St, Bengaluru, Ch 123589"
208449,20in Monitor,1,109.99,08/20/19 08:11,"82 14th St, Kolkata, TL 135523"
208450,20in Monitor,1,109.99,08/12/19 19:02,"370 Spruce St, Noida, UP 123512"
208451,34in Ultrawide Monitor,1,379.99,08/13/19 08:01,"958 Commercial Street St, Rewari, Hr 123500"
208452,ThinkPad Laptop,1,999.99,08/26/19 01:11,"326 6th St, Rewari, Hr 123500"
208453,Bose SoundSport Headphones,1,99.99,08/02/19 09:31,"738 4th St, Bengaluru, Ch 123589"
208454,Google Phone,1,600.0,08/20/19 06:28,"839 River St, Indore, In 126756"
208455,20in Monitor,1,109.99,08/16/19 23:49,"843 North St, Noida, Hr 132500"
208456,Apple Airpods Headphones,1,150.0,08/01/19 14:13,"75 11th St, Noida, UP 123512"
208457,iPhone,1,700.0,08/27/19 08:48,"59 Connaught Place St, Bengaluru, Ch 123589"
208458,USB-C Charging Cable,1,11.95,08/27/19 20:23,"477 13th St, Rewari, Hr 123500"
208459,Bose SoundSport Headphones,1,99.99,08/14/19 19:17,"320 Ridge St, Rewari, Hr 123500"
208460,Lightning Charging Cable,2,14.95,08/04/19 12:21,"784 Hill St, Pune, MH 123249"
208461,AAA Batteries (4-pack),2,2.99,08/30/19 09:44,"648 Chestnut St, Rewari, Hr 123500"
208462,Bose SoundSport Headphones,1,99.99,08/07/19 08:33,"334 Hill St, Noida, UP 123512"
208463,Apple Airpods Headphones,1,150.0,08/27/19 14:38,"726 Commercial Street St, Noida, UP 123512"
208464,USB-C Charging Cable,1,11.95,08/03/19 15:24,"194 Colaba causeway St, Rewari, Hr 123500"
208465,Lightning Charging Cable,1,14.95,08/23/19 18:55,"164 12th St, Noida, UP 123512"
208466,USB-C Charging Cable,1,11.95,08/26/19 10:31,"952 Lakeview St, Noida, UP 123512"
208467,34in Ultrawide Monitor,1,379.99,08/21/19 13:33,"115 Hickory St, Kolkata, TL 135523"
208468,34in Ultrawide Monitor,1,379.99,08/15/19 19:10,"358 Jagadamba Centre St, Rewari, Hr 123500"
208469,iPhone,1,700.0,08/29/19 09:35,"204  Fontainhas St, Rewari, Hr 123500"
208470,USB-C Charging Cable,2,11.95,08/19/19 16:49,"976 MG Road Bangalore St, Rewari, Hr 123500"
208471,AAA Batteries (4-pack),1,2.99,08/23/19 12:20,"611 Ridge St, Bengaluru, Ch 123589"
208472,34in Ultrawide Monitor,1,379.99,08/23/19 18:25,"452 2nd St, Noida, UP 123512"
208473,AAA Batteries (4-pack),1,2.99,08/03/19 14:10,"762 Hickory St, Kolkata, TL 135523"
208474,USB-C Charging Cable,1,11.95,08/04/19 09:56,"110 13th St, Rewari, Hr 123500"
208475,AAA Batteries (4-pack),2,2.99,08/13/19 09:22,"85 Jagadamba Centre St, Noida, UP 123512"
208476,27in FHD Monitor,1,149.99,08/13/19 17:38,"961 Elm St, Bengaluru, Ch 123589"
208477,27in FHD Monitor,1,149.99,08/31/19 11:48,"835 Adams St, Pune, MH 123249"
208478,Lightning Charging Cable,1,14.95,08/14/19 13:46,"980 Center St, Kolkata, TL 135523"
208479,Apple Airpods Headphones,1,150.0,08/03/19 14:01,"643 Lake St, Rewari, Hr 123500"
208480,Apple Airpods Headphones,1,150.0,08/12/19 09:29,"822 Lake St, Bengaluru, Ch 123589"
208481,AA Batteries (4-pack),1,3.84,08/05/19 12:58,"428 8th St, Bengaluru, Ch 123589"
208482,Lightning Charging Cable,1,14.95,08/27/19 15:52,"884 Adams St, New Delhi, Dl 122400"
208483,AAA Batteries (4-pack),2,2.99,08/09/19 10:47,"101 West St, Rewari, Hr 123500"
208484,ThinkPad Laptop,1,999.99,08/12/19 16:50,"239 Dadabhai Naoroji Road St, Noida, UP 123512"
208485,USB-C Charging Cable,1,11.95,08/13/19 20:04,"126 10th St, Kolkata, TL 135523"
208486,AA Batteries (4-pack),1,3.84,08/31/19 13:08,"68 14th St, Rewari, Hr 123500"
208487,Lightning Charging Cable,2,14.95,08/09/19 21:13,"218 Hickory St, Kolkata, TL 135523"
208488,Lightning Charging Cable,2,14.95,08/01/19 11:30,"235 Meadow St, Kolkata, TL 135523"
208489,AAA Batteries (4-pack),1,2.99,08/14/19 08:38,"644 Cherry St, New Delhi, Dl 122400"
208490,Wired Headphones,1,11.99,08/08/19 14:23,"72 Center St, Rewari, Hr 123500"
