Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
265359,Lightning Charging Cable,2,14.95,12/10/19 04:34,"555 Willow St, Noida, UP 123512"
265360,USB-C Charging Cable,1,11.95,12/22/19 12:00,"446 Commercial Street St, Noida, UP 123512"
265361,Wired Headphones,1,11.99,12/27/19 22:52,"380 11th St, Noida, UP 123512"
265362,USB-C Charging Cable,1,11.95,12/25/19 20:25,"588 Cherry St, Bengaluru, Ch 123589"
265363,LG Washing Machine,1,600.0,12/08/19 12:08,"955 13th St, Noida, UP 123512"
265364,Wired Headphones,2,11.99,12/14/19 11:09,"637 Dogwood St, Rewari, Hr 123500"
265365,ThinkPad Laptop,1,999.99,12/25/19 18:19,"945 Hill St, Indore, In 126756"
265366,AA Batteries (4-pack),1,3.84,12/09/19 09:49,"54 MG Road Bangalore St, Indore, In 126756"
265367,AAA Batteries (4-pack),1,2.99,12/31/19 16:39,"753 Adams St, Bengaluru, Ch 123589"
265368,AAA Batteries (4-pack),1,2.99,12/21/19 20:48,"991  Fontainhas St, Surat, GU 129870"
265369,AA Batteries (4-pack),2,3.84,12/30/19 16:34,"181  Fontainhas St, Noida, UP 123512"
265370,AA Batteries (4-pack),1,3.84,12/03/19 21:20,"108 Colaba causeway St, Noida, UP 123512"
265371,ThinkPad Laptop,1,999.99,12/12/19 19:49,"272 12th St, Noida, UP 123512"
265372,27in FHD Monitor,1,149.99,12/19/19 19:42,"230 5th St, Rewari, Hr 123500"
265373,iPhone,1,700.0,12/09/19 15:12,"555 Main St, Rewari, Hr 123500"
265374,Bose SoundSport Headphones,1,99.99,12/29/19 21:08,"656 West St, New Delhi, Dl 122400"
265375,Apple Airpods Headphones,1,150.0,12/27/19 19:39,"833 Dadabhai Naoroji Road St, New Delhi, Dl 122400"
265376,USB-C Charging Cable,2,11.95,12/18/19 20:38,"635 Hazratganj St, Bengaluru, Ch 123589"
265377,Lightning Charging Cable,1,14.95,12/21/19 09:43,"65 Meadow St, New Delhi, Dl 122400"
265378,Wired Headphones,1,11.99,12/27/19 22:52,"374 Park St, New Delhi, Dl 122400"
265379,AAA Batteries (4-pack),1,2.99,12/24/19 23:13,"580 6th St, Kolkata, TL 135523"
265380,AAA Batteries (4-pack),1,2.99,12/06/19 18:38,"405 6th St, Noida, UP 123512"
265381,Lightning Charging Cable,1,14.95,12/21/19 20:13,"803 1st St, Noida, UP 123512"
265382,Wired Headphones,1,11.99,12/14/19 16:46,"105 9th St, Rewari, Hr 123500"
265383,Bose SoundSport Headphones,1,99.99,12/09/19 13:03,"655 River St, New Delhi, Dl 122400"
