Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
138268,USB-C Charging Cable,1,11.95,02/11/19 21:13,"739 Main St, Bengaluru, Ch 123589"
138269,iPhone,1,700.0,02/17/19 20:06,"55 Meadow St, Bengaluru, Ch 123589"
138270,Wired Headphones,1,11.99,02/16/19 16:35,"414 Center St, Rewari, Hr 123500"
138271,AAA Batteries (4-pack),1,2.99,02/28/19 08:35,"832 1st St, Noida, Hr 132500"
138272,Bose SoundSport Headphones,1,99.99,02/18/19 05:47,"69 8th St, Rewari, Hr 123500"
138273,Apple Airpods Headphones,1,150.0,02/07/19 15:26,"407 Lakeview St, Ahmedabad, GU 128700"
138274,34in Ultrawide Monitor,1,379.99,02/09/19 20:57,"434 9th St, Noida, UP 123512"
138275,27in FHD Monitor,1,149.99,02/14/19 22:29,"30 14th St, Kolkata, TL 135523"
138276,AA Batteries (4-pack),2,3.84,02/27/19 17:19,"891 11th St, Rewari, Hr 123500"
138277,AAA Batteries (4-pack),2,2.99,02/24/19 13:43,"789 Commercial Street St, Noida, UP 123512"
138277,Lightning Charging Cable,1,14.95,02/24/19 13:43,"789 Commercial Street St, Noida, UP 123512"
138278,20in Monitor,1,109.99,02/18/19 10:34,"284 Jagadamba Centre St, Rewari, Hr 123500"
138279,Google Phone,1,600.0,02/14/19 11:22,"56 Hazratganj St, New Delhi, Dl 122400"
138280,USB-C Charging Cable,1,11.95,02/27/19 19:17,"629 14th St, Bengaluru, Ch 123589"
138281,USB-C Charging Cable,3,11.95,02/25/19 15:06,"201 Hickory St, Rewari, Hr 123500"
138282,AAA Batteries (4-pack),1,2.99,02/16/19 19:04,"230 Hill St, New Delhi, Dl 122400"
138283,Lightning Charging Cable,1,14.95,02/06/19 15:04,"60 8th St, Noida, UP 123512"
138284,AAA Batteries (4-pack),1,2.99,02/17/19 10:42,"640 12th St, Rewari, Hr 123500"
138285,USB-C Charging Cable,1,11.95,02/06/19 02:18,"940  Fontainhas St, Bengaluru, Ch 123589"
138286,AAA Batteries (4-pack),1,2.99,02/05/19 07:51,"741 Chestnut St, Noida, UP 123512"
138287,34in Ultrawide Monitor,1,379.99,02/17/19 12:58,"40 Highland St, Bengaluru, Ch 123589"
138288,Lightning Charging Cable,1,14.95,02/08/19 08:52,"687 5th St, Rewari, Hr 123500"
138289,LG Dryer,1,600.0,02/19/19 08:53,"705 Hill St, Bengaluru, Ch 123589"
138290,Wired Headphones,1,11.99,02/15/19 19:05,"460 MG Road Bangalore St, Noida, UP 123512"
138291,Apple Airpods Headphones,1,150.0,02/05/19 20:52,"431 14th St, Kolkata, TL 135523"
138292,iPhone,1,700.0,02/10/19 20:14,"26 Center St, Bengaluru, Ch 123589"
138293,ThinkPad Laptop,1,999.99,02/16/19 22:23,"63 Highland St, New Delhi, Dl 122400"
138293,Lightning Charging Cable,1,14.95,02/16/19 22:23,"63 Highland St, New Delhi, Dl 122400"
