Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
123432,27in FHD Monitor,1,149.99,01/09/19 23:26,"800 River St, Noida, Hr 132500"
123433,AA Batteries (4-pack),1,3.84,01/04/19 18:31,"855 Sitabuldi Main Road St, Bengaluru, Ch 123589"
123434,27in FHD Monitor,1,149.99,01/02/19 12:54,"311 7th St, Bengaluru, Ch 123589"
123435,Bose SoundSport Headphones,1,99.99,01/23/19 18:49,"900 Lakeview St, Rewari, Hr 123500"
123436,Bose SoundSport Headphones,1,99.99,01/22/19 17:47,"119 6th St, New Delhi, Dl 122400"
123437,34in Ultrawide Monitor,1,379.99,01/31/19 15:14,"712 2nd St, Bengaluru, Ch 123589"
123438,Wired Headphones,1,11.99,01/31/19 20:19,"509 Colaba causeway St, Noida, UP 123512"
123439,AA Batteries (4-pack),1,3.84,01/06/19 17:12,"608 Hill St, Rewari, Hr 123500"
123440,AA Batteries (4-pack),2,3.84,01/24/19 15:29,"198 Lake St, Rewari, Hr 123500"
123441,USB-C Charging Cable,1,11.95,01/17/19 14:31,"183 Meadow St, New Delhi, Dl 122400"
123442,USB-C Charging Cable,1,11.95,01/27/19 20:30,"383 Lake St, Rewari, Hr 123500"
123443,27in FHD Monitor,1,149.99,01/04/19 14:09,"783 Connaught Place St, Bengaluru, Ch 123589"
123444,34in Ultrawide Monitor,1,379.99,01/26/19 14:51,"227 Sitabuldi Main Road St, Kolkata, TL 135523"
123445,USB-C Charging Cable,1,11.95,01/01/19 17:27,"916 Main St, Indore, In 126756"
123446,27in FHD Monitor,1,149.99,01/17/19 10:27,"426 13th St, Indore, In 126756"
123447,AA Batteries (4-pack),1,3.84,01/06/19 20:07,"752 Lake St, Pune, MH 123249"
123448,USB-C Charging Cable,2,11.95,01/18/19 16:09,"350 Willow St, Noida, Hr 132500"
123449,USB-C Charging Cable,1,11.95,01/13/19 22:36,"275 Dadabhai Naoroji Road St, Rewari, Hr 123500"
123450,Wired Headphones,1,11.99,01/30/19 18:21,"933 Lake St, Bengaluru, Ch 123589"
123451,Macbook Pro Laptop,1,1700.0,01/23/19 02:35,"872 7th St, Rewari, Hr 123500"
123452,Bose SoundSport Headphones,1,99.99,01/12/19 23:43,"597 Maple St, Kolkata, TL 135523"
123453,USB-C Charging Cable,2,11.95,01/05/19 10:36,"10 14th St, Rewari, Hr 123500"
123454,AA Batteries (4-pack),1,3.84,01/06/19 09:20,"47 West St, Surat, GU 129870"
123455,USB-C Charging Cable,1,11.95,01/10/19 18:37,"634 Maple St, Rewari, Hr 123500"
123456,Google Phone,1,600.0,01/23/19 22:53,"547 Sitabuldi Main Road St, Noida, UP 123512"
123457,AA Batteries (4-pack),3,3.84,01/21/19 00:19,"36 Main St, Bengaluru, Ch 123589"
123458,AAA Batteries (4-pack),1,2.99,01/25/19 17:32,"648 Ridge St, Noida, UP 123512"
123459,Lightning Charging Cable,1,14.95,01/26/19 20:19,"625 Spruce St, Rewari, Hr 123500"
123460,Wired Headphones,1,11.99,01/26/19 08:38,"553 14th St, Pune, MH 123249"
123461,Lightning Charging Cable,1,14.95,01/14/19 19:17,"970  Fontainhas St, Rewari, Hr 123500"
123462,Lightning Charging Cable,1,14.95,01/17/19 14:38,"422 Sitabuldi Main Road St, Pune, MH 123249"
123463,Wired Headphones,1,11.99,01/29/19 22:28,"437 Ridge St, Indore, In 126756"
123464,Macbook Pro Laptop,1,1700.0,01/13/19 14:50,"942 Highland St, Rewari, Hr 123500"
123465,Wired Headphones,1,11.99,01/01/19 15:34,"529 Forest St, Indore, In 126756"
123466,Lightning Charging Cable,1,14.95,01/05/19 14:49,"503 West St, Noida, UP 123512"
123467,AA Batteries (4-pack),1,3.84,01/23/19 15:08,"861 4th St, Noida, UP 123512"
123468,AAA Batteries (4-pack),1,2.99,01/21/19 18:41,"636 South St, Noida, UP 123512"
123469,Google Phone,1,600.0,01/15/19 15:59,"2 Center St, New Delhi, Dl 122400"
123470,34in Ultrawide Monitor,1,379.99,01/16/19 10:44,"570 Adams St, Pune, MH 123249"
123471,Bose SoundSport Headphones,1,99.99,01/16/19 15:21,"645 Rajpath St, New Delhi, Dl 122400"
123472,AA Batteries (4-pack),2,3.84,01/01/19 19:41,"798 Lake St, Surat, GU 129870"
123473,AA Batteries (4-pack),1,3.84,01/29/19 14:31,"570 Adams St, Noida, Hr 132500"
123474,20in Monitor,1,109.99,01/28/19 19:45,"492 South St, New Delhi, Dl 122400"
123475,Apple Airpods Headphones,1,150.0,01/28/19 11:59,"346 Sunset St, Bengaluru, Ch 123589"
123476,AAA Batteries (4-pack),1,2.99,01/13/19 14:17,"373 Lakeview St, Kolkata, TL 135523"
123477,Wired Headphones,1,11.99,01/16/19 14:25,"417 Connaught Place St, Rewari, Hr 123500"
123478,Lightning Charging Cable,1,14.95,01/26/19 07:52,"59 Ridge St, Indore, In 126756"
123479,Bose SoundSport Headphones,1,99.99,01/22/19 13:10,"857 Sunset St, Noida, Hr 132500"
123480,iPhone,1,700.0,01/24/19 09:42,"553 9th St, New Delhi, Dl 122400"
123481,Wired Headphones,1,11.99,01/29/19 07:06,"550 South St, Pune, MH 123249"
123482,Flatscreen TV,1,300.0,01/18/19 00:28,"58 MG Road Bangalore St, Bengaluru, Ch 123589"
123483,Flatscreen TV,1,300.0,01/01/19 22:20,"485 South St, Bengaluru, Ch 123589"
123484,34in Ultrawide Monitor,1,379.99,01/18/19 12:29,"710 Chestnut St, Noida, Hr 132500"
123485,Wired Headphones,1,11.99,01/15/19 18:15,"574 Park St, Ahmedabad, GU 128700"
123486,34in Ultrawide Monitor,1,379.99,01/10/19 13:45,"584 MG Road Bangalore St, Kolkata, TL 135523"
123487,Bose SoundSport Headphones,1,99.99,01/01/19 22:36,"313 Ridge St, Rewari, Hr 123500"
123488,Bose SoundSport Headphones,1,99.99,01/24/19 19:53,"856 Park St, Bengaluru, Ch 123589"
123489,20in Monitor,1,109.99,01/04/19 22:49,"101 Main St, Indore, In 126756"
123490,Wired Headphones,2,11.99,01/06/19 21:58,"739 2nd St, Bengaluru, Ch 123589"
123491,Lightning Charging Cable,1,14.95,01/24/19 16:12,"206 1st St, Noida, UP 123512"
123492,Macbook Pro Laptop,1,1700.0,01/03/19 20:06,"369 5th St, Indore, In 126756"
123492,AA Batteries (4-pack),1,3.84,01/03/19 20:06,"369 5th St, Indore, In 126756"
123493,AA Batteries (4-pack),1,3.84,01/15/19 10:10,"439 Rajpath St, Bengaluru, Ch 123589"
123494,Wired Headphones,1,11.99,01/23/19 15:08,"516 Madison St, Noida, Hr 132500"
123495,34in Ultrawide Monitor,1,379.99,01/02/19 00:21,"148 Hill St, Rewari, Hr 123500"
123496,34in Ultrawide Monitor,1,379.99,01/18/19 20:26,"782 Jagadamba Centre St, Rewari, Hr 123500"
123497,Apple Airpods Headphones,1,150.0,01/13/19 23:23,"956 Rajpath St, Noida, UP 123512"
123498,Wired Headphones,1,11.99,01/13/19 12:57,"302 Chestnut St, Noida, UP 123512"
123499,AA Batteries (4-pack),3,3.84,01/21/19 21:44,"3 River St, Bengaluru, Ch 123589"
123500,Wired Headphones,1,11.99,01/05/19 00:02,"670 4th St, Rewari, Hr 123500"
123501,AA Batteries (4-pack),1,3.84,01/10/19 07:21,"827 Sitabuldi Main Road St, Noida, UP 123512"
123502,ThinkPad Laptop,1,999.99,01/29/19 19:53,"356 6th St, Kolkata, TL 135523"
123503,USB-C Charging Cable,1,11.95,01/08/19 12:45,"356 Park St, New Delhi, Dl 122400"
123504,27in 4K Gaming Monitor,1,389.99,01/30/19 18:49,"894 North St, Indore, In 126756"
123505,Apple Airpods Headphones,1,150.0,01/24/19 12:49,"301 Maple St, Bengaluru, Ch 123589"
123506,USB-C Charging Cable,2,11.95,01/14/19 13:39,"394 4th St, Surat, GU 129870"
123507,Apple Airpods Headphones,1,150.0,01/25/19 22:19,"79 Ridge St, New Delhi, Dl 122400"
123508,AA Batteries (4-pack),1,3.84,01/07/19 23:12,"554 1st St, Rewari, Hr 123500"
123509,Wired Headphones,1,11.99,01/01/19 22:03,"997 North St, Rewari, Hr 123500"
123510,USB-C Charging Cable,1,11.95,01/18/19 17:56,"695 6th St, Rewari, Hr 123500"
123511,Lightning Charging Cable,1,14.95,01/18/19 16:29,"750 7th St, Bengaluru, Ch 123589"
123512,USB-C Charging Cable,1,11.95,01/04/19 18:53,"997 Madison St, Kolkata, TL 135523"
123513,AA Batteries (4-pack),1,3.84,01/08/19 13:03,"537 11th St, Surat, GU 129870"
123514,20in Monitor,1,109.99,01/22/19 14:32,"246 Lakeview St, Surat, GU 129870"
123515,USB-C Charging Cable,1,11.95,01/11/19 14:05,"654 Ridge St, Noida, UP 123512"
123516,20in Monitor,1,109.99,01/06/19 15:38,"32 Cherry St, Bengaluru, Ch 123589"
123517,AAA Batteries (4-pack),1,2.99,01/26/19 20:49,"471 Park St, Noida, UP 123512"
123518,Bose SoundSport Headphones,1,99.99,01/20/19 22:21,"276 South St, Kolkata, TL 135523"
