Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
196887,USB-C Charging Cable,1,11.95,07/01/19 16:16,"181 11th St, Pune, MH 123249"
196888,AA Batteries (4-pack),1,3.84,07/26/19 17:22,"411 Madison St, Noida, UP 123512"
196889,AA Batteries (4-pack),2,3.84,07/10/19 22:06,"674 Chestnut St, Rewari, Hr 123500"
196890,Wired Headphones,2,11.99,07/18/19 22:31,"32 Ridge St, New Delhi, Dl 122400"
196891,34in Ultrawide Monitor,1,379.99,07/02/19 16:52,"342 Ridge St, Rewari, Hr 123500"
196892,27in 4K Gaming Monitor,1,389.99,07/03/19 15:09,"367 4th St, Pune, MH 123249"
196893,USB-C Charging Cable,1,11.95,07/01/19 22:29,"821 Hill St, Noida, UP 123512"
196894,AA Batteries (4-pack),1,3.84,07/21/19 10:30,"372 9th St, Rewari, Hr 123500"
196895,Google Phone,1,600.0,07/01/19 08:10,"295 Willow St, New Delhi, Dl 122400"
196896,iPhone,1,700.0,07/31/19 21:25,"170 Rajpath St, Bengaluru, Ch 123589"
196896,Apple Airpods Headphones,1,150.0,07/31/19 21:25,"170 Rajpath St, Bengaluru, Ch 123589"
196897,USB-C Charging Cable,1,11.95,07/07/19 20:13,"819 Maple St, Kolkata, TL 135523"
196898,AA Batteries (4-pack),1,3.84,07/17/19 18:10,"691 Center St, Kolkata, TL 135523"
196899,AA Batteries (4-pack),1,3.84,07/29/19 18:50,"954 Madison St, Rewari, Hr 123500"
196900,Wired Headphones,1,11.99,07/25/19 20:39,"741 11th St, Indore, In 126756"
196901,Lightning Charging Cable,1,14.95,07/04/19 15:21,"829 Hill St, Bengaluru, Ch 123589"
196902,AAA Batteries (4-pack),2,2.99,07/05/19 20:07,"992 Park St, Bengaluru, Ch 123589"
196903,Macbook Pro Laptop,1,1700.0,07/28/19 13:43,"63 Maple St, Kolkata, TL 135523"
196904,AA Batteries (4-pack),1,3.84,07/26/19 13:16,"691 Colaba causeway St, Pune, MH 123249"
196905,AA Batteries (4-pack),1,3.84,07/20/19 22:15,"726 Willow St, Noida, UP 123512"
196906,Lightning Charging Cable,1,14.95,07/21/19 08:33,"390 Rajpath St, Indore, In 126756"
196907,Macbook Pro Laptop,1,1700.0,07/29/19 12:17,"232 Main St, Bengaluru, Ch 123589"
196908,20in Monitor,1,109.99,07/11/19 11:23,"526 Willow St, New Delhi, Dl 122400"
196909,AA Batteries (4-pack),1,3.84,07/23/19 22:18,"364 Jagadamba Centre St, New Delhi, Dl 122400"
196910,Bose SoundSport Headphones,1,99.99,07/04/19 17:28,"174 8th St, Noida, UP 123512"
196910,Apple Airpods Headphones,1,150.0,07/04/19 17:28,"174 8th St, Noida, UP 123512"
196911,USB-C Charging Cable,1,11.95,07/26/19 19:50,"367 Adams St, Rewari, Hr 123500"
196912,iPhone,1,700.0,07/24/19 10:29,"390 Lake St, Rewari, Hr 123500"
196913,Apple Airpods Headphones,1,150.0,07/02/19 12:17,"864 Madison St, Rewari, Hr 123500"
196914,20in Monitor,1,109.99,07/05/19 21:07,"944 5th St, Rewari, Hr 123500"
196915,20in Monitor,1,109.99,07/02/19 11:08,"439 6th St, New Delhi, Dl 122400"
196916,Apple Airpods Headphones,1,150.0,07/12/19 20:12,"517 North St, Rewari, Hr 123500"
196917,Vareebadd Phone,1,400.0,07/12/19 14:19,"261 10th St, Rewari, Hr 123500"
196918,Lightning Charging Cable,1,14.95,07/29/19 23:04,"491 Hickory St, Noida, Hr 132500"
196919,Apple Airpods Headphones,1,150.0,07/04/19 04:44,"7 Connaught Place St, Rewari, Hr 123500"
196920,Flatscreen TV,1,300.0,07/11/19 09:30,"448 River St, Rewari, Hr 123500"
196921,AA Batteries (4-pack),1,3.84,07/02/19 14:31,"200 Willow St, Bengaluru, Ch 123589"
196922,Bose SoundSport Headphones,1,99.99,07/05/19 19:47,"217 Main St, Noida, Hr 132500"
196923,USB-C Charging Cable,2,11.95,07/23/19 19:12,"281 Cherry St, Noida, UP 123512"
196924,Lightning Charging Cable,1,14.95,07/01/19 11:33,"871 Hickory St, Pune, MH 123249"
196925,USB-C Charging Cable,1,11.95,07/15/19 11:46,"99 Dogwood St, Rewari, Hr 123500"
196926,USB-C Charging Cable,1,11.95,07/15/19 21:43,"553 Adams St, Bengaluru, Ch 123589"
196927,27in 4K Gaming Monitor,1,389.99,07/01/19 17:39,"487 Lake St, Bengaluru, Ch 123589"
196928,iPhone,1,700.0,07/29/19 20:41,"654 8th St, Indore, In 126756"
196928,Apple Airpods Headphones,1,150.0,07/29/19 20:41,"654 8th St, Indore, In 126756"
196929,AA Batteries (4-pack),2,3.84,07/11/19 09:56,"264 Highland St, New Delhi, Dl 122400"
196930,iPhone,1,700.0,07/12/19 20:49,"927 Commercial Street St, New Delhi, Dl 122400"
196931,AAA Batteries (4-pack),1,2.99,07/27/19 15:03,"953 North St, Kolkata, TL 135523"
196932,AA Batteries (4-pack),1,3.84,07/24/19 21:34,"944 Commercial Street St, Indore, In 126756"
196933,Wired Headphones,1,11.99,07/07/19 10:27,"4 River St, Rewari, Hr 123500"
196934,AAA Batteries (4-pack),1,2.99,07/21/19 14:01,"963 Hickory St, Indore, In 126756"
196935,AAA Batteries (4-pack),1,2.99,07/22/19 16:50,"478 Jagadamba Centre St, New Delhi, Dl 122400"
196936,Flatscreen TV,1,300.0,07/06/19 19:24,"832 1st St, Noida, UP 123512"
196937,27in FHD Monitor,1,149.99,07/23/19 10:50,"884 Colaba causeway St, New Delhi, Dl 122400"
196938,Bose SoundSport Headphones,1,99.99,07/07/19 23:04,"342 5th St, Kolkata, TL 135523"
196939,27in FHD Monitor,1,149.99,07/01/19 14:26,"612 1st St, Noida, Hr 132500"
196940,Bose SoundSport Headphones,2,99.99,07/07/19 20:19,"405 Main St, Surat, GU 129870"
