Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
185145,34in Ultrawide Monitor,1,379.99,06/10/19 08:28,"394 West St, Bengaluru, Ch 123589"
185146,Apple Airpods Headphones,1,150.0,06/14/19 22:15,"168 Highland St, Rewari, Hr 123500"
185147,Google Phone,1,600.0,06/01/19 09:35,"485 7th St, Pune, MH 123249"
185147,USB-C Charging Cable,1,11.95,06/01/19 09:35,"485 7th St, Pune, MH 123249"
185148,AAA Batteries (4-pack),1,2.99,06/17/19 09:40,"373 South St, Rewari, Hr 123500"
185149,Bose SoundSport Headphones,1,99.99,06/10/19 13:14,"280 Dadabhai Naoroji Road St, Rewari, Hr 123500"
185149,AAA Batteries (4-pack),2,2.99,06/10/19 13:14,"280 Dadabhai Naoroji Road St, Rewari, Hr 123500"
185150,27in FHD Monitor,1,149.99,06/09/19 18:12,"851 12th St, Rewari, Hr 123500"
185151,Lightning Charging Cable,1,14.95,06/30/19 21:46,"9 Highland St, Pune, MH 123249"
185152,AAA Batteries (4-pack),2,2.99,06/13/19 21:53,"121 Elm St, Pune, MH 123249"
185153,Bose SoundSport Headphones,1,99.99,06/01/19 16:36,"153 Center St, Noida, UP 123512"
185154,AA Batteries (4-pack),1,3.84,06/21/19 18:37,"534 Hill St, Noida, UP 123512"
185155,LG Dryer,1,600.0,06/26/19 12:52,"775 Lakeview St, Noida, UP 123512"
185156,27in FHD Monitor,1,149.99,06/17/19 20:51,"781 Sunset St, Indore, In 126756"
185157,iPhone,1,700.0,06/08/19 13:41,"51 MG Road Bangalore St, Bengaluru, Ch 123589"
185158,Vareebadd Phone,1,400.0,06/17/19 07:46,"969 Madison St, Indore, In 126756"
185159,AAA Batteries (4-pack),1,2.99,06/05/19 23:12,"426 North St, Bengaluru, Ch 123589"
185160,AA Batteries (4-pack),1,3.84,06/21/19 13:32,"315 4th St, Pune, MH 123249"
185161,AAA Batteries (4-pack),1,2.99,06/21/19 12:14,"124 13th St, Rewari, Hr 123500"
185162,Lightning Charging Cable,2,14.95,06/21/19 08:55,"421 14th St, Noida, UP 123512"
185163,Apple Airpods Headphones,1,150.0,06/01/19 11:32,"826 Madison St, Pune, MH 123249"
185164,AA Batteries (4-pack),1,3.84,06/06/19 01:53,"39  Fontainhas St, Rewari, Hr 123500"
185165,20in Monitor,1,109.99,06/09/19 16:05,"792 Rajpath St, Rewari, Hr 123500"
185166,Wired Headphones,1,11.99,06/10/19 20:22,"356 Lakeview St, Noida, UP 123512"
185167,34in Ultrawide Monitor,1,379.99,06/01/19 12:09,"623 Commercial Street St, Kolkata, TL 135523"
185168,Bose SoundSport Headphones,1,99.99,06/26/19 18:34,"488 North St, Noida, UP 123512"
185169,Lightning Charging Cable,1,14.95,06/29/19 17:05,"207 Dogwood St, Indore, In 126756"
185170,Lightning Charging Cable,1,14.95,06/23/19 11:53,"784 Rajpath St, Noida, Hr 132500"
185171,USB-C Charging Cable,1,11.95,06/22/19 19:30,"732 14th St, Indore, In 126756"
185172,Lightning Charging Cable,1,14.95,06/16/19 19:18,"11 Lake St, New Delhi, Dl 122400"
185173,AAA Batteries (4-pack),1,2.99,06/14/19 19:30,"579 Main St, Pune, MH 123249"
185174,Lightning Charging Cable,1,14.95,06/23/19 21:58,"610 4th St, Noida, UP 123512"
185175,Bose SoundSport Headphones,1,99.99,06/06/19 22:58,"768 Dogwood St, Surat, GU 129870"
185176,Google Phone,1,600.0,06/01/19 14:26,"753 North St, Indore, In 126756"
185177,Google Phone,1,600.0,06/18/19 17:51,"367 Park St, Noida, UP 123512"
185178,Lightning Charging Cable,1,14.95,06/07/19 12:54,"133 Elm St, Rewari, Hr 123500"
185179,iPhone,1,700.0,06/15/19 16:05,"221 Highland St, Indore, In 126756"
185180,27in FHD Monitor,1,149.99,06/27/19 17:24,"681 Sunset St, New Delhi, Dl 122400"
185181,20in Monitor,1,109.99,06/29/19 11:51,"241 7th St, Noida, Hr 132500"
185182,iPhone,1,700.0,06/01/19 18:13,"969 Rajpath St, New Delhi, Dl 122400"
185182,Wired Headphones,1,11.99,06/01/19 18:13,"969 Rajpath St, New Delhi, Dl 122400"
185183,27in 4K Gaming Monitor,1,389.99,06/18/19 16:32,"151 Madison St, Kolkata, TL 135523"
185184,Apple Airpods Headphones,1,150.0,06/20/19 08:05,"865  Fontainhas St, Noida, UP 123512"
185185,Lightning Charging Cable,1,14.95,06/24/19 10:31,"905 4th St, Rewari, Hr 123500"
185186,Bose SoundSport Headphones,1,99.99,06/13/19 17:45,"730 Lakeview St, Noida, Hr 132500"
185187,USB-C Charging Cable,1,11.95,06/01/19 09:22,"705 Hickory St, Noida, UP 123512"
185188,AAA Batteries (4-pack),2,2.99,06/12/19 23:14,"184 Lakeview St, Noida, UP 123512"
185189,27in FHD Monitor,1,149.99,06/21/19 05:43,"938 North St, Noida, Hr 132500"
185190,USB-C Charging Cable,1,11.95,06/08/19 11:24,"246 Adams St, Surat, GU 129870"
185191,AAA Batteries (4-pack),3,2.99,06/03/19 12:46,"444 West St, Kolkata, TL 135523"
185192,Google Phone,1,600.0,06/24/19 19:14,"42 Center St, Pune, MH 123249"
185193,Lightning Charging Cable,1,14.95,06/27/19 09:33,"207 Park St, Rewari, Hr 123500"
185194,Bose SoundSport Headphones,1,99.99,06/03/19 19:43,"337 Jagadamba Centre St, Bengaluru, Ch 123589"
185195,Lightning Charging Cable,1,14.95,06/10/19 13:38,"488 1st St, Rewari, Hr 123500"
185196,27in FHD Monitor,1,149.99,06/11/19 20:41,"377 5th St, Noida, UP 123512"
185197,Lightning Charging Cable,1,14.95,06/11/19 09:26,"274 Hazratganj St, Indore, In 126756"
185198,iPhone,1,700.0,06/02/19 00:26,"523 Hill St, Rewari, Hr 123500"
185199,AA Batteries (4-pack),2,3.84,06/24/19 20:24,"281 West St, Rewari, Hr 123500"
185200,Google Phone,1,600.0,06/07/19 17:54,"10 Connaught Place St, Pune, MH 123249"
185201,AA Batteries (4-pack),1,3.84,06/22/19 12:19,"216 Lake St, New Delhi, Dl 122400"
185202,Apple Airpods Headphones,1,150.0,06/21/19 10:09,"470 Highland St, Surat, GU 129870"
185203,iPhone,1,700.0,06/13/19 00:29,"175 Connaught Place St, Noida, UP 123512"
185204,AA Batteries (4-pack),1,3.84,06/13/19 20:37,"531 Spruce St, Noida, Hr 132500"
185205,Flatscreen TV,1,300.0,06/08/19 09:28,"972 Sitabuldi Main Road St, Bengaluru, Ch 123589"
185206,Flatscreen TV,1,300.0,06/04/19 17:17,"580 Highland St, Rewari, Hr 123500"
185207,27in 4K Gaming Monitor,1,389.99,06/29/19 21:10,"612 2nd St, Indore, In 126756"
185208,Lightning Charging Cable,1,14.95,06/04/19 19:31,"293 Dogwood St, Noida, UP 123512"
185209,AAA Batteries (4-pack),1,2.99,06/02/19 23:55,"304 Elm St, Kolkata, TL 135523"
185210,Wired Headphones,1,11.99,06/04/19 19:37,"278 Dogwood St, Rewari, Hr 123500"
185211,USB-C Charging Cable,1,11.95,06/13/19 19:58,"634 Jagadamba Centre St, Indore, In 126756"
185212,Bose SoundSport Headphones,1,99.99,06/17/19 20:58,"802 Rajpath St, Noida, UP 123512"
185213,Apple Airpods Headphones,1,150.0,06/19/19 18:42,"963 Cherry St, Bengaluru, Ch 123589"
185214,Wired Headphones,1,11.99,06/22/19 11:04,"177 Lake St, Rewari, Hr 123500"
185215,Lightning Charging Cable,1,14.95,06/24/19 12:15,"241 Rajpath St, Bengaluru, Ch 123589"
185216,Apple Airpods Headphones,1,150.0,06/10/19 15:19,"473 Forest St, New Delhi, Dl 122400"
185217,AA Batteries (4-pack),1,3.84,06/19/19 10:56,"933 Dogwood St, Kolkata, TL 135523"
185218,Wired Headphones,1,11.99,06/21/19 23:24,"654 West St, New Delhi, Dl 122400"
185219,Lightning Charging Cable,1,14.95,06/29/19 11:05,"688 Elm St, Kolkata, TL 135523"
185219,Lightning Charging Cable,1,14.95,06/29/19 11:05,"688 Elm St, Kolkata, TL 135523"
185220,USB-C Charging Cable,1,11.95,06/19/19 10:59,"829 Meadow St, Noida, Hr 132500"
185220,Wired Headphones,1,11.99,06/19/19 10:59,"829 Meadow St, Noida, Hr 132500"
185221,Bose SoundSport Headphones,1,99.99,06/10/19 05:20,"451 Park St, Kolkata, TL 135523"
185222,Wired Headphones,1,11.99,06/22/19 19:17,"863 Cherry St, Noida, Hr 132500"
185223,USB-C Charging Cable,1,11.95,06/28/19 22:03,"726 Highland St, Noida, UP 123512"
185224,iPhone,1,700.0,06/02/19 15:17,"383 8th St, Kolkata, TL 135523"
185224,Lightning Charging Cable,1,14.95,06/02/19 15:17,"383 8th St, Kolkata, TL 135523"
185225,AAA Batteries (4-pack),2,2.99,06/10/19 11:34,"248 2nd St, New Delhi, Dl 122400"
185226,27in 4K Gaming Monitor,1,389.99,06/18/19 20:40,"451 14th St, Rewari, Hr 123500"
185227,27in FHD Monitor,1,149.99,06/17/19 22:02,"862 River St, Noida, UP 123512"
185227,Macbook Pro Laptop,1,1700.0,06/17/19 22:02,"862 River St, Noida, UP 123512"
185228,AA Batteries (4-pack),1,3.84,06/28/19 21:06,"441 Spruce St, New Delhi, Dl 122400"
185229,USB-C Charging Cable,1,11.95,06/17/19 21:48,"869 1st St, Noida, UP 123512"
185230,Lightning Charging Cable,1,14.95,06/01/19 08:06,"55 Forest St, Rewari, Hr 123500"
185231,Macbook Pro Laptop,1,1700.0,06/12/19 23:16,"873 Meadow St, Bengaluru, Ch 123589"
185232,Lightning Charging Cable,1,14.95,06/11/19 20:33,"980 Maple St, Rewari, Hr 123500"
185233,Bose SoundSport Headphones,1,99.99,06/20/19 15:52,"766 Hickory St, Bengaluru, Ch 123589"
185234,AA Batteries (4-pack),1,3.84,06/30/19 18:40,"279 North St, Noida, UP 123512"
185235,20in Monitor,1,109.99,06/14/19 13:43,"582 Connaught Place St, New Delhi, Dl 122400"
185236,USB-C Charging Cable,1,11.95,06/04/19 15:32,"866 2nd St, Bengaluru, Ch 123589"
185237,AAA Batteries (4-pack),1,2.99,06/25/19 10:47,"7 9th St, Kolkata, TL 135523"
185238,Macbook Pro Laptop,1,1700.0,06/18/19 19:32,"3 Hickory St, Bengaluru, Ch 123589"
185239,Apple Airpods Headphones,1,150.0,06/20/19 14:57,"633 Hill St, New Delhi, Dl 122400"
185240,Lightning Charging Cable,1,14.95,06/28/19 20:54,"45 13th St, Noida, UP 123512"
185241,USB-C Charging Cable,1,11.95,06/20/19 09:40,"485 MG Road Bangalore St, Rewari, Hr 123500"
185242,AAA Batteries (4-pack),1,2.99,06/24/19 13:18,"515 Connaught Place St, Surat, GU 129870"
185243,Bose SoundSport Headphones,1,99.99,06/12/19 19:31,"489 Cherry St, Rewari, Hr 123500"
185244,Bose SoundSport Headphones,1,99.99,06/03/19 20:32,"77 Colaba causeway St, Noida, Hr 132500"
185245,AAA Batteries (4-pack),1,2.99,06/06/19 09:13,"628 Park St, Kolkata, TL 135523"
185246,27in FHD Monitor,1,149.99,06/16/19 17:47,"959 Hickory St, Indore, In 126756"
185247,Wired Headphones,1,11.99,06/08/19 18:20,"746 Maple St, Indore, In 126756"
185248,USB-C Charging Cable,1,11.95,06/28/19 21:51,"77 West St, Noida, Hr 132500"
185249,AAA Batteries (4-pack),2,2.99,06/28/19 10:31,"875 14th St, Surat, GU 129870"
185250,Lightning Charging Cable,1,14.95,06/07/19 12:04,"674 4th St, Bengaluru, Ch 123589"
185251,AA Batteries (4-pack),1,3.84,06/03/19 20:20,"43 Forest St, Surat, GU 129870"
185252,Wired Headphones,1,11.99,06/28/19 02:06,"224 North St, Noida, UP 123512"
185253,AAA Batteries (4-pack),1,2.99,06/09/19 21:39,"904 Rajpath St, Rewari, Hr 123500"
185254,Wired Headphones,1,11.99,06/17/19 10:23,"603 Adams St, Indore, In 126756"
185255,Flatscreen TV,1,300.0,06/23/19 15:45,"674 Madison St, Noida, UP 123512"
185256,AAA Batteries (4-pack),1,2.99,06/21/19 20:33,"876 7th St, Kolkata, TL 135523"
185257,27in 4K Gaming Monitor,1,389.99,06/13/19 08:45,"664 Adams St, Rewari, Hr 123500"
185258,USB-C Charging Cable,1,11.95,06/21/19 23:38,"357 Hazratganj St, Indore, In 126756"
185259,34in Ultrawide Monitor,1,379.99,06/05/19 00:14,"358 Connaught Place St, New Delhi, Dl 122400"
185260,Bose SoundSport Headphones,1,99.99,06/11/19 13:54,"921 Dogwood St, Pune, MH 123249"
185261,AA Batteries (4-pack),1,3.84,06/21/19 00:52,"375 10th St, Rewari, Hr 123500"
185262,Apple Airpods Headphones,1,150.0,06/23/19 11:48,"353 North St, New Delhi, Dl 122400"
185263,AAA Batteries (4-pack),3,2.99,06/17/19 18:07,"224 8th St, Rewari, Hr 123500"
185264,Vareebadd Phone,1,400.0,06/06/19 18:20,"526 Jagadamba Centre St, New Delhi, Dl 122400"
185265,Wired Headphones,1,11.99,06/04/19 18:49,"558 Forest St, Noida, Hr 132500"
