Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
149320,Apple Airpods Headphones,1,150.0,03/04/19 09:04,"446 Adams St, Rewari, Hr 123500"
149321,Wired Headphones,1,11.99,03/27/19 00:10,"498 Park St, Noida, Hr 132500"
149322,USB-C Charging Cable,1,11.95,03/27/19 20:32,"207 Madison St, Rewari, Hr 123500"
149323,AA Batteries (4-pack),1,3.84,03/23/19 20:53,"989 Center St, Pune, MH 123249"
149324,Apple Airpods Headphones,1,150.0,03/16/19 08:28,"412 Maple St, Noida, UP 123512"
149325,iPhone,1,700.0,03/22/19 03:17,"181 7th St, Noida, UP 123512"
149326,ThinkPad Laptop,1,999.99,03/28/19 00:38,"901 River St, Noida, Hr 132500"
149327,Bose SoundSport Headphones,1,99.99,03/15/19 12:38,"139 7th St, New Delhi, Dl 122400"
149328,AA Batteries (4-pack),2,3.84,03/19/19 11:15,"618 6th St, New Delhi, Dl 122400"
149329,iPhone,1,700.0,03/18/19 15:38,"658 10th St, New Delhi, Dl 122400"
149330,AA Batteries (4-pack),1,3.84,03/13/19 19:36,"133 10th St, Noida, Hr 132500"
149331,Lightning Charging Cable,2,14.95,03/12/19 17:02,"50 Madison St, Indore, In 126756"
149331,27in FHD Monitor,1,149.99,03/12/19 17:02,"50 Madison St, Indore, In 126756"
149332,Wired Headphones,1,11.99,03/21/19 19:14,"953 12th St, Noida, UP 123512"
149333,27in FHD Monitor,1,149.99,03/03/19 18:27,"631 Willow St, Noida, UP 123512"
149333,Bose SoundSport Headphones,1,99.99,03/03/19 18:27,"631 Willow St, Noida, UP 123512"
149334,USB-C Charging Cable,1,11.95,03/03/19 11:23,"638 Hill St, New Delhi, Dl 122400"
149335,Lightning Charging Cable,1,14.95,03/11/19 19:52,"437 Dogwood St, Rewari, Hr 123500"
149336,Flatscreen TV,1,300.0,03/24/19 21:26,"793 North St, New Delhi, Dl 122400"
149337,ThinkPad Laptop,1,999.99,03/15/19 08:24,"366 7th St, Surat, GU 129870"
149338,Bose SoundSport Headphones,1,99.99,03/24/19 17:06,"158 Sitabuldi Main Road St, Rewari, Hr 123500"
149339,27in FHD Monitor,1,149.99,03/13/19 15:36,"22 12th St, Surat, GU 129870"
149340,USB-C Charging Cable,1,11.95,03/07/19 09:18,"612 11th St, Rewari, Hr 123500"
149341,Apple Airpods Headphones,1,150.0,03/16/19 01:24,"949 Colaba causeway St, Rewari, Hr 123500"
149342,Wired Headphones,1,11.99,03/14/19 21:26,"123 Dogwood St, Rewari, Hr 123500"
149343,34in Ultrawide Monitor,1,379.99,03/26/19 21:11,"709 Colaba causeway St, Indore, In 126756"
149344,27in FHD Monitor,1,149.99,03/26/19 01:57,"463 Willow St, Bengaluru, Ch 123589"
149345,AAA Batteries (4-pack),1,2.99,03/07/19 13:22,"736 Hazratganj St, Noida, Hr 132500"
149346,USB-C Charging Cable,2,11.95,03/06/19 21:37,"493 Adams St, Rewari, Hr 123500"
149347,Lightning Charging Cable,1,14.95,03/02/19 20:46,"562 8th St, Kolkata, TL 135523"
149348,Bose SoundSport Headphones,1,99.99,03/17/19 15:07,"445 10th St, Rewari, Hr 123500"
149349,27in 4K Gaming Monitor,1,389.99,03/03/19 14:39,"470 5th St, Rewari, Hr 123500"
149350,20in Monitor,1,109.99,03/25/19 01:59,"99 Maple St, Rewari, Hr 123500"
149351,Flatscreen TV,1,300.0,03/25/19 13:29,"127 North St, Noida, UP 123512"
149352,Wired Headphones,1,11.99,03/22/19 12:17,"970 River St, Noida, Hr 132500"
149353,Wired Headphones,1,11.99,03/07/19 20:06,"609 Dogwood St, Noida, UP 123512"
149354,Lightning Charging Cable,1,14.95,03/11/19 17:08,"931 West St, Rewari, Hr 123500"
149355,ThinkPad Laptop,1,999.99,03/16/19 18:53,"742 14th St, Rewari, Hr 123500"
149356,USB-C Charging Cable,1,11.95,03/09/19 10:12,"870 Hazratganj St, Bengaluru, Ch 123589"
149357,Wired Headphones,1,11.99,03/15/19 19:54,"504 Hazratganj St, Noida, UP 123512"
149358,ThinkPad Laptop,1,999.99,03/17/19 02:40,"122 Lake St, Pune, MH 123249"
149359,Bose SoundSport Headphones,1,99.99,03/17/19 13:36,"918 Chestnut St, Rewari, Hr 123500"
149360,iPhone,1,700.0,03/14/19 23:56,"392 South St, Bengaluru, Ch 123589"
149360,Lightning Charging Cable,1,14.95,03/14/19 23:56,"392 South St, Bengaluru, Ch 123589"
149361,Lightning Charging Cable,1,14.95,03/01/19 21:38,"610 Main St, New Delhi, Dl 122400"
