Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
174087,Lightning Charging Cable,1,14.95,05/02/19 11:55,"500 River St, Kolkata, TL 135523"
174088,Apple Airpods Headphones,1,150.0,05/21/19 23:23,"118 Chestnut St, Bengaluru, Ch 123589"
174089,AAA Batteries (4-pack),4,2.99,05/31/19 19:54,"838 Hill St, Bengaluru, Ch 123589"
174090,Bose SoundSport Headphones,1,99.99,05/28/19 06:15,"743 South St, Rewari, Hr 123500"
174091,AA Batteries (4-pack),1,3.84,05/30/19 11:39,"494 11th St, Noida, UP 123512"
174092,Wired Headphones,1,11.99,05/23/19 11:02,"577 13th St, Pune, MH 123249"
174093,Wired Headphones,1,11.99,05/30/19 11:52,"98 8th St, Rewari, Hr 123500"
174094,Lightning Charging Cable,1,14.95,05/18/19 19:01,"63 5th St, Noida, UP 123512"
174095,AA Batteries (4-pack),1,3.84,05/10/19 08:46,"258 South St, Kolkata, TL 135523"
174096,Wired Headphones,1,11.99,05/16/19 12:25,"469 Connaught Place St, Noida, UP 123512"
174097,AA Batteries (4-pack),1,3.84,05/09/19 08:32,"834 14th St, Rewari, Hr 123500"
174098,AAA Batteries (4-pack),3,2.99,05/01/19 16:37,"979 Hazratganj St, Rewari, Hr 123500"
174099,USB-C Charging Cable,1,11.95,05/21/19 16:09,"526 Adams St, Noida, UP 123512"
174100,USB-C Charging Cable,1,11.95,05/03/19 19:44,"539 Park St, Indore, In 126756"
174101,USB-C Charging Cable,1,11.95,05/02/19 10:41,"395 7th St, Bengaluru, Ch 123589"
174102,Flatscreen TV,1,300.0,05/05/19 08:53,"80 River St, Indore, In 126756"
174103,Wired Headphones,1,11.99,05/01/19 17:08,"416 6th St, Rewari, Hr 123500"
174104,LG Dryer,1,600.0,05/26/19 04:28,"725 12th St, Noida, UP 123512"
174105,Wired Headphones,1,11.99,05/22/19 19:08,"333 6th St, Rewari, Hr 123500"
174106,Wired Headphones,1,11.99,05/18/19 18:20,"75 4th St, Noida, Hr 132500"
174107,Macbook Pro Laptop,1,1700.0,05/26/19 01:03,"795 Center St, New Delhi, Dl 122400"
174108,Bose SoundSport Headphones,1,99.99,05/20/19 18:12,"465 Lake St, Rewari, Hr 123500"
174109,AA Batteries (4-pack),2,3.84,05/30/19 18:29,"626 Hickory St, Pune, MH 123249"
174110,Lightning Charging Cable,1,14.95,05/17/19 11:49,"647 7th St, Rewari, Hr 123500"
174111,ThinkPad Laptop,1,999.99,05/23/19 10:28,"78 11th St, Indore, In 126756"
174112,Wired Headphones,1,11.99,05/16/19 20:56,"153 Madison St, Bengaluru, Ch 123589"
174113,20in Monitor,1,109.99,05/06/19 16:05,"298 North St, Noida, UP 123512"
174114,27in FHD Monitor,1,149.99,05/20/19 12:09,"624 13th St, Rewari, Hr 123500"
174115,Bose SoundSport Headphones,1,99.99,05/28/19 18:29,"330 Cherry St, Surat, GU 129870"
174116,Wired Headphones,1,11.99,05/29/19 15:52,"299 Highland St, New Delhi, Dl 122400"
174117,Wired Headphones,1,11.99,05/18/19 18:03,"186 Dogwood St, Noida, UP 123512"
174118,iPhone,1,700.0,05/30/19 14:48,"296 Center St, Rewari, Hr 123500"
174118,Wired Headphones,1,11.99,05/30/19 14:48,"296 Center St, Rewari, Hr 123500"
174119,AAA Batteries (4-pack),1,2.99,05/21/19 22:38,"706 4th St, Noida, UP 123512"
174120,AA Batteries (4-pack),2,3.84,05/16/19 15:44,"879 7th St, Bengaluru, Ch 123589"
174121,27in FHD Monitor,1,149.99,05/26/19 16:33,"719 MG Road Bangalore St, Indore, In 126756"
174122,AAA Batteries (4-pack),1,2.99,05/23/19 14:29,"204 Park St, Surat, GU 129870"
174123,Lightning Charging Cable,1,14.95,05/08/19 22:23,"166 Dogwood St, Surat, GU 129870"
174124,AA Batteries (4-pack),1,3.84,05/12/19 10:18,"244 Ridge St, Ahmedabad, GU 128700"
174125,Bose SoundSport Headphones,2,99.99,05/20/19 12:35,"524 River St, Rewari, Hr 123500"
174126,Wired Headphones,1,11.99,05/13/19 02:29,"124 8th St, Bengaluru, Ch 123589"
174127,USB-C Charging Cable,1,11.95,05/16/19 19:37,"608 4th St, Kolkata, TL 135523"
174128,USB-C Charging Cable,1,11.95,05/17/19 13:14,"166 River St, Kolkata, TL 135523"
174129,USB-C Charging Cable,1,11.95,05/13/19 22:44,"116 5th St, Kolkata, TL 135523"
174130,Lightning Charging Cable,1,14.95,05/30/19 12:23,"732 Willow St, Bengaluru, Ch 123589"
174131,USB-C Charging Cable,4,11.95,05/26/19 13:53,"263 Sitabuldi Main Road St, Pune, MH 123249"
174132,34in Ultrawide Monitor,1,379.99,05/15/19 03:21,"478 Cherry St, Surat, GU 129870"
174133,iPhone,1,700.0,05/07/19 18:33,"508 Park St, Noida, UP 123512"
174134,Bose SoundSport Headphones,1,99.99,05/21/19 11:45,"667 Commercial Street St, Pune, MH 123249"
174135,Bose SoundSport Headphones,1,99.99,05/03/19 15:41,"972 Forest St, Bengaluru, Ch 123589"
174136,AA Batteries (4-pack),1,3.84,05/29/19 12:13,"743 Center St, Kolkata, TL 135523"
174137,Apple Airpods Headphones,1,150.0,05/19/19 08:26,"39 Elm St, Pune, MH 123249"
174138,AAA Batteries (4-pack),1,2.99,05/03/19 11:31,"310 Chestnut St, Indore, In 126756"
174139,USB-C Charging Cable,1,11.95,05/24/19 15:26,"501 Park St, Rewari, Hr 123500"
174140,AAA Batteries (4-pack),1,2.99,05/05/19 20:54,"285 Jagadamba Centre St, Noida, Hr 132500"
174141,Apple Airpods Headphones,1,150.0,05/11/19 00:18,"78  Fontainhas St, Rewari, Hr 123500"
174142,USB-C Charging Cable,1,11.95,05/19/19 16:25,"207 Hickory St, Rewari, Hr 123500"
174143,iPhone,1,700.0,05/12/19 12:07,"896 MG Road Bangalore St, Rewari, Hr 123500"
174143,Lightning Charging Cable,1,14.95,05/12/19 12:07,"896 MG Road Bangalore St, Rewari, Hr 123500"
174144,Lightning Charging Cable,1,14.95,05/03/19 15:43,"288 Dadabhai Naoroji Road St, Noida, UP 123512"
174145,USB-C Charging Cable,1,11.95,05/12/19 21:43,"405 14th St, Rewari, Hr 123500"
174146,34in Ultrawide Monitor,1,379.99,05/02/19 09:47,"835 Madison St, Pune, MH 123249"
174147,USB-C Charging Cable,2,11.95,05/02/19 19:41,"715 8th St, Surat, GU 129870"
174148,Flatscreen TV,1,300.0,05/17/19 18:53,"935 14th St, Rewari, Hr 123500"
174149,Bose SoundSport Headphones,1,99.99,05/30/19 10:20,"628 South St, Rewari, Hr 123500"
174150,AA Batteries (4-pack),2,3.84,05/15/19 10:01,"599 6th St, Kolkata, TL 135523"
174151,AAA Batteries (4-pack),1,2.99,05/19/19 06:27,"557 14th St, Noida, UP 123512"
174152,Lightning Charging Cable,1,14.95,05/29/19 12:47,"968 11th St, Rewari, Hr 123500"
174153,Macbook Pro Laptop,1,1700.0,05/28/19 20:02,"868 Maple St, Indore, In 126756"
174154,AAA Batteries (4-pack),2,2.99,05/03/19 20:45,"716 Ridge St, Indore, In 126756"
174155,Lightning Charging Cable,1,14.95,05/08/19 09:01,"683 14th St, Pune, MH 123249"
174156,Google Phone,1,600.0,05/15/19 05:36,"900 Hazratganj St, Kolkata, TL 135523"
174157,USB-C Charging Cable,1,11.95,05/21/19 23:49,"295 Hill St, Rewari, Hr 123500"
174157,Flatscreen TV,1,300.0,05/21/19 23:49,"295 Hill St, Rewari, Hr 123500"
174158,AAA Batteries (4-pack),1,2.99,05/25/19 22:00,"613 Hickory St, Surat, GU 129870"
174159,Google Phone,1,600.0,05/16/19 21:58,"667 Dadabhai Naoroji Road St, Noida, UP 123512"
174160,Apple Airpods Headphones,1,150.0,05/13/19 20:17,"674 9th St, Noida, UP 123512"
174160,iPhone,1,700.0,05/13/19 20:17,"674 9th St, Noida, UP 123512"
174161,ThinkPad Laptop,1,999.99,05/23/19 08:39,"758 Forest St, Rewari, Hr 123500"
174162,Bose SoundSport Headphones,1,99.99,05/20/19 21:37,"930 River St, Surat, GU 129870"
174163,AA Batteries (4-pack),1,3.84,05/02/19 09:09,"645 Center St, Rewari, Hr 123500"
174164,Apple Airpods Headphones,1,150.0,05/21/19 19:51,"199 Sunset St, Bengaluru, Ch 123589"
174165,Apple Airpods Headphones,1,150.0,05/27/19 13:51,"204 2nd St, Bengaluru, Ch 123589"
174166,Lightning Charging Cable,1,14.95,05/26/19 18:10,"496 14th St, Pune, MH 123249"
174167,Wired Headphones,1,11.99,05/11/19 19:30,"568 Hill St, Rewari, Hr 123500"
174168,Wired Headphones,1,11.99,05/26/19 14:49,"677 11th St, Noida, UP 123512"
174169,AA Batteries (4-pack),1,3.84,05/27/19 19:14,"627 9th St, Rewari, Hr 123500"
174170,AAA Batteries (4-pack),2,2.99,05/10/19 12:08,"345 South St, Surat, GU 129870"
