Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
245090,AA Batteries (4-pack),1,3.84,11/27/19 18:04,"872 Lakeview St, Pune, MH 123249"
245091,AAA Batteries (4-pack),1,2.99,11/25/19 16:23,"357 Dogwood St, Bengaluru, Ch 123589"
245092,Wired Headphones,1,11.99,11/02/19 14:53,"705 Main St, Rewari, Hr 123500"
245093,AAA Batteries (4-pack),3,2.99,11/09/19 15:10,"325 Dogwood St, Pune, MH 123249"
245094,Bose SoundSport Headphones,1,99.99,11/24/19 15:47,"653 Jagadamba Centre St, Bengaluru, Ch 123589"
245095,27in FHD Monitor,1,149.99,11/06/19 12:30,"395 Hazratganj St, Surat, GU 129870"
245096,Wired Headphones,1,11.99,11/10/19 13:12,"37 Sunset St, Kolkata, TL 135523"
245097,AAA Batteries (4-pack),2,2.99,11/21/19 12:03,"568 4th St, Indore, In 126756"
245098,Apple Airpods Headphones,1,150.0,11/05/19 16:11,"859 Main St, Rewari, Hr 123500"
245099,AAA Batteries (4-pack),2,2.99,11/20/19 11:00,"634 8th St, Noida, Hr 132500"
245100,Google Phone,1,600.0,11/01/19 09:09,"87 West St, Bengaluru, Ch 123589"
245100,Google Phone,1,600.0,11/01/19 09:09,"87 West St, Bengaluru, Ch 123589"
245101,Lightning Charging Cable,2,14.95,11/19/19 19:43,"991 9th St, Surat, GU 129870"
245102,Lightning Charging Cable,1,14.95,11/20/19 23:52,"772 Ridge St, Surat, GU 129870"
245103,Apple Airpods Headphones,1,150.0,11/26/19 12:05,"589 Colaba causeway St, Noida, Hr 132500"
245103,27in 4K Gaming Monitor,1,389.99,11/26/19 12:05,"589 Colaba causeway St, Noida, Hr 132500"
245104,Bose SoundSport Headphones,1,99.99,11/02/19 17:10,"581 Hill St, Pune, MH 123249"
245105,USB-C Charging Cable,1,11.95,11/15/19 16:37,"724 Maple St, New Delhi, Dl 122400"
245105,20in Monitor,2,109.99,11/15/19 16:37,"724 Maple St, New Delhi, Dl 122400"
245106,34in Ultrawide Monitor,1,379.99,11/07/19 18:25,"623 Madison St, Bengaluru, Ch 123589"
245107,Lightning Charging Cable,1,14.95,11/25/19 14:54,"435 2nd St, Pune, MH 123249"
245108,AA Batteries (4-pack),1,3.84,11/09/19 15:17,"539 13th St, Indore, In 126756"
245109,AA Batteries (4-pack),1,3.84,11/30/19 09:40,"497 11th St, Kolkata, TL 135523"
245110,Bose SoundSport Headphones,1,99.99,11/19/19 09:40,"648 North St, Bengaluru, Ch 123589"
245111,Lightning Charging Cable,1,14.95,11/21/19 08:44,"327 South St, Indore, In 126756"
245112,AAA Batteries (4-pack),1,2.99,11/10/19 17:32,"936 7th St, Ahmedabad, GU 128700"
245113,Apple Airpods Headphones,1,150.0,11/19/19 23:37,"399 Hazratganj St, Rewari, Hr 123500"
245114,USB-C Charging Cable,1,11.95,11/26/19 14:27,"146 Colaba causeway St, Surat, GU 129870"
245115,AA Batteries (4-pack),1,3.84,11/26/19 08:03,"911 10th St, New Delhi, Dl 122400"
245116,AA Batteries (4-pack),1,3.84,11/27/19 19:05,"398 Ridge St, Noida, Hr 132500"
245117,Lightning Charging Cable,1,14.95,11/07/19 14:16,"459 Spruce St, Surat, GU 129870"
245118,AA Batteries (4-pack),1,3.84,11/25/19 17:26,"355 11th St, Noida, Hr 132500"
245119,Vareebadd Phone,1,400.0,11/04/19 11:35,"118 Sunset St, Rewari, Hr 123500"
245119,USB-C Charging Cable,1,11.95,11/04/19 11:35,"118 Sunset St, Rewari, Hr 123500"
245120,AAA Batteries (4-pack),3,2.99,11/08/19 12:48,"688 West St, Pune, MH 123249"
245121,AA Batteries (4-pack),1,3.84,11/27/19 15:35,"372 Sunset St, Rewari, Hr 123500"
