Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
232944,Lightning Charging Cable,1,14.95,10/02/19 18:16,"401 South St, Bengaluru, Ch 123589"
232945,USB-C Charging Cable,1,11.95,10/28/19 22:15,"318 Meadow St, Bengaluru, Ch 123589"
232946,AAA Batteries (4-pack),1,2.99,10/16/19 09:59,"225 Center St, Bengaluru, Ch 123589"
232947,Lightning Charging Cable,1,14.95,10/30/19 12:34,"512 Ridge St, Rewari, Hr 123500"
232948,USB-C Charging Cable,1,11.95,10/30/19 20:26,"533 Center St, New Delhi, Dl 122400"
232949,AAA Batteries (4-pack),2,2.99,10/02/19 15:19,"250 West St, Rewari, Hr 123500"
232950,Bose SoundSport Headphones,1,99.99,10/20/19 10:53,"667 Park St, Surat, GU 129870"
232951,AAA Batteries (4-pack),1,2.99,10/18/19 16:13,"522 Lake St, Bengaluru, Ch 123589"
232952,27in FHD Monitor,1,149.99,10/17/19 19:20,"943  Fontainhas St, Rewari, Hr 123500"
232953,Flatscreen TV,1,300.0,10/09/19 16:00,"912 Connaught Place St, Rewari, Hr 123500"
232954,27in FHD Monitor,1,149.99,10/21/19 01:02,"333 River St, Indore, In 126756"
232955,Vareebadd Phone,1,400.0,10/09/19 10:16,"921 Adams St, Noida, Hr 132500"
232956,27in FHD Monitor,1,149.99,10/27/19 05:38,"264 Willow St, Surat, GU 129870"
232957,Wired Headphones,1,11.99,10/01/19 18:42,"681 Spruce St, Noida, UP 123512"
232958,Bose SoundSport Headphones,1,99.99,10/15/19 20:36,"282 11th St, Noida, Hr 132500"
232959,AAA Batteries (4-pack),2,2.99,10/15/19 19:57,"329 10th St, Noida, Hr 132500"
232960,USB-C Charging Cable,1,11.95,10/27/19 09:55,"690 6th St, Rewari, Hr 123500"
232961,LG Washing Machine,1,600.0,10/31/19 13:52,"949 Center St, Noida, UP 123512"
232962,USB-C Charging Cable,1,11.95,10/20/19 12:12,"221 Chestnut St, Noida, UP 123512"
232963,Flatscreen TV,1,300.0,10/27/19 16:21,"53 Sitabuldi Main Road St, Rewari, Hr 123500"
232964,Lightning Charging Cable,1,14.95,10/16/19 10:23,"190 6th St, New Delhi, Dl 122400"
232965,USB-C Charging Cable,1,11.95,10/10/19 20:39,"123 11th St, Bengaluru, Ch 123589"
232966,Macbook Pro Laptop,1,1700.0,10/08/19 19:04,"76 7th St, Indore, In 126756"
232967,AAA Batteries (4-pack),1,2.99,10/27/19 13:08,"923 South St, Rewari, Hr 123500"
232968,AAA Batteries (4-pack),3,2.99,10/05/19 13:10,"401 11th St, Noida, UP 123512"
232969,Lightning Charging Cable,2,14.95,10/20/19 09:45,"440 North St, Bengaluru, Ch 123589"
232970,Bose SoundSport Headphones,1,99.99,10/17/19 15:20,"770 Elm St, Rewari, Hr 123500"
232971,Wired Headphones,1,11.99,10/14/19 09:30,"383 South St, New Delhi, Dl 122400"
232972,AA Batteries (4-pack),1,3.84,10/31/19 17:33,"327 MG Road Bangalore St, Indore, In 126756"
232973,Flatscreen TV,1,300.0,10/17/19 08:37,"782 2nd St, Bengaluru, Ch 123589"
232974,Vareebadd Phone,1,400.0,10/01/19 10:50,"841 8th St, Noida, Hr 132500"
232974,USB-C Charging Cable,1,11.95,10/01/19 10:50,"841 8th St, Noida, Hr 132500"
232975,Lightning Charging Cable,1,14.95,10/20/19 10:58,"812 Commercial Street St, Kolkata, TL 135523"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
232976,Google Phone,1,600,10/16/19 18:10,"531 10th St, Noida, Hr 132500"
232977,Bose SoundSport Headphones,1,99.99,10/04/19 17:00,"193 6th St, Pune, MH 123249"
232978,Apple Airpods Headphones,1,150,10/26/19 22:06,"358 Lakeview St, Indore, In 126756"
232979,Vareebadd Phone,1,400,10/06/19 02:42,"36 West St, Surat, GU 129870"
232980,Macbook Pro Laptop,1,1700,10/09/19 20:05,"142 Dogwood St, Indore, In 126756"
232981,34in Ultrawide Monitor,1,379.99,10/12/19 14:02,"14 Hill St, Rewari, Hr 123500"
232982,AAA Batteries (4-pack),2,2.99,10/08/19 21:33,"460 Maple St, Rewari, Hr 123500"
232983,27in FHD Monitor,1,149.99,10/22/19 05:23,"3 Dadabhai Naoroji Road St, Rewari, Hr 123500"
232984,iPhone,1,700,10/06/19 15:21,"828 Sunset St, Noida, UP 123512"
232985,Lightning Charging Cable,1,14.95,10/20/19 07:38,"176 Commercial Street St, Noida, UP 123512"
232986,Wired Headphones,1,11.99,10/28/19 21:58,"892 Connaught Place St, New Delhi, Dl 122400"
232987,USB-C Charging Cable,1,11.95,10/05/19 14:07,"578 South St, Bengaluru, Ch 123589"
232988,LG Washing Machine,1,600.0,10/23/19 05:20,"530 Lake St, Noida, Hr 132500"
232989,AAA Batteries (4-pack),2,2.99,10/01/19 17:02,"705 13th St, Noida, Hr 132500"
232990,Apple Airpods Headphones,1,150,10/03/19 16:03,"144 Jagadamba Centre St, Rewari, Hr 123500"
232991,AA Batteries (4-pack),1,3.84,10/01/19 17:59,"930 Forest St, Bengaluru, Ch 123589"
232992,iPhone,1,700,10/27/19 13:27,"955 Chestnut St, New Delhi, Dl 122400"
232993,20in Monitor,1,109.99,10/31/19 22:00,"492 North St, Noida, Hr 132500"
232994,AA Batteries (4-pack),1,3.84,10/15/19 18:02,"876 1st St, Indore, In 126756"
232995,AA Batteries (4-pack),1,3.84,10/16/19 20:51,"348 4th St, Noida, UP 123512"
232996,Apple Airpods Headphones,1,150,10/05/19 14:56,"10 8th St, Bengaluru, Ch 123589"
232997,USB-C Charging Cable,1,11.95,10/08/19 20:21,"473  Fontainhas St, Bengaluru, Ch 123589"
232998,27in 4K Gaming Monitor,1,389.99,10/22/19 13:56,"109 Hazratganj St, Rewari, Hr 123500"
232999,Macbook Pro Laptop,1,1700,10/03/19 14:58,"992 MG Road Bangalore St, Rewari, Hr 123500"
233000,AA Batteries (4-pack),1,3.84,10/05/19 12:25,"751 Lakeview St, New Delhi, Dl 122400"
233001,AAA Batteries (4-pack),1,2.99,10/29/19 12:38,"308 5th St, Pune, MH 123249"
233002,Bose SoundSport Headphones,1,99.99,10/11/19 10:03,"924 5th St, Bengaluru, Ch 123589"
233003,Apple Airpods Headphones,1,150,10/21/19 18:49,"140 Chestnut St, Indore, In 126756"
233004,Wired Headphones,1,11.99,10/02/19 18:45,"373 12th St, Noida, UP 123512"
233005,20in Monitor,1,109.99,10/22/19 14:02,"116 12th St, New Delhi, Dl 122400"
233006,Bose SoundSport Headphones,1,99.99,10/17/19 10:50,"141 West St, Rewari, Hr 123500"
233007,AAA Batteries (4-pack),2,2.99,10/08/19 09:36,"61 7th St, Rewari, Hr 123500"
233008,LG Dryer,1,600.0,10/14/19 10:00,"596 Maple St, Rewari, Hr 123500"
233009,USB-C Charging Cable,1,11.95,10/25/19 20:56,"721 4th St, Ahmedabad, GU 128700"
233010,Flatscreen TV,1,300,10/16/19 22:13,"743 13th St, Rewari, Hr 123500"
233011,Lightning Charging Cable,1,14.95,10/13/19 15:21,"951  Fontainhas St, Noida, Hr 132500"
233012,iPhone,1,700,10/24/19 10:29,"173 Forest St, Indore, In 126756"
233013,Apple Airpods Headphones,1,150,10/30/19 12:46,"647 8th St, Noida, UP 123512"
233014,USB-C Charging Cable,1,11.95,10/18/19 19:07,"717 Elm St, Kolkata, TL 135523"
233015,AA Batteries (4-pack),1,3.84,10/07/19 21:35,"139 13th St, Noida, UP 123512"
233016,iPhone,1,700,10/20/19 08:47,"814 13th St, Rewari, Hr 123500"
233017,AA Batteries (4-pack),1,3.84,10/14/19 08:07,"682 Adams St, Noida, UP 123512"
233018,34in Ultrawide Monitor,1,379.99,10/03/19 22:24,"792 Jagadamba Centre St, Kolkata, TL 135523"
233019,ThinkPad Laptop,1,999.99,10/08/19 09:27,"657 Meadow St, New Delhi, Dl 122400"
233020,AA Batteries (4-pack),1,3.84,10/13/19 11:37,"60 North St, Rewari, Hr 123500"
233021,Lightning Charging Cable,1,14.95,10/12/19 00:52,"338  Fontainhas St, Bengaluru, Ch 123589"
233022,AAA Batteries (4-pack),1,2.99,10/01/19 22:35,"359 5th St, Surat, GU 129870"
,,,,,
233023,Wired Headphones,1,11.99,10/22/19 13:02,"148 2nd St, Noida, UP 123512"
233024,USB-C Charging Cable,1,11.95,10/30/19 09:02,"746 Dadabhai Naoroji Road St, Noida, UP 123512"
233025,27in FHD Monitor,1,149.99,10/04/19 23:30,"938 Hickory St, Kolkata, TL 135523"
233026,Lightning Charging Cable,2,14.95,10/13/19 18:02,"4 Meadow St, Rewari, Hr 123500"
233027,USB-C Charging Cable,1,11.95,10/21/19 21:54,"87 West St, Noida, Hr 132500"
233028,Lightning Charging Cable,1,14.95,10/29/19 17:27,"726 North St, Kolkata, TL 135523"
233029,AA Batteries (4-pack),2,3.84,10/14/19 18:51,"696 Rajpath St, Noida, UP 123512"
233030,AA Batteries (4-pack),1,3.84,10/12/19 16:02,"20 6th St, Noida, UP 123512"
233031,iPhone,1,700,10/20/19 23:58,"121 West St, Noida, Hr 132500"
233031,Lightning Charging Cable,2,14.95,10/20/19 23:58,"121 West St, Noida, Hr 132500"
233032,Lightning Charging Cable,1,14.95,10/09/19 14:38,"939 Madison St, Noida, UP 123512"
233033,34in Ultrawide Monitor,1,379.99,10/09/19 13:58,"307 Adams St, Indore, In 126756"
233034,Lightning Charging Cable,1,14.95,10/15/19 14:29,"426 Hazratganj St, Pune, MH 123249"
233035,27in FHD Monitor,1,149.99,10/28/19 00:23,"157 West St, Noida, UP 123512"
233036,USB-C Charging Cable,2,11.95,10/19/19 21:18,"570 Adams St, Noida, UP 123512"
233037,AAA Batteries (4-pack),1,2.99,10/02/19 10:23,"158 North St, Surat, GU 129870"
233038,USB-C Charging Cable,1,11.95,10/15/19 08:42,"832 Forest St, Ahmedabad, GU 128700"
233039,USB-C Charging Cable,1,11.95,10/11/19 20:58,"569 5th St, Noida, UP 123512"
233040,Apple Airpods Headphones,1,150,10/13/19 01:26,"950 Commercial Street St, Bengaluru, Ch 123589"
233041,Lightning Charging Cable,1,14.95,10/15/19 10:26,"201 14th St, Noida, UP 123512"
