Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
224328,AA Batteries (4-pack),2,3.84,09/06/19 17:33,"379 Ridge St, Rewari, Hr 123500"
224329,Lightning Charging Cable,1,14.95,09/07/19 15:02,"415 Highland St, Noida, UP 123512"
224330,Flatscreen TV,1,300.0,09/10/19 19:02,"301 2nd St, Indore, In 126756"
224331,AA Batteries (4-pack),1,3.84,09/13/19 22:23,"455 River St, Bengaluru, Ch 123589"
224332,Wired Headphones,1,11.99,09/09/19 19:46,"991 4th St, Rewari, Hr 123500"
224333,AA Batteries (4-pack),1,3.84,09/28/19 13:23,"824 9th St, Bengaluru, Ch 123589"
224334,AA Batteries (4-pack),1,3.84,09/15/19 00:00,"697 Sunset St, Bengaluru, Ch 123589"
224335,Flatscreen TV,1,300.0,09/28/19 18:56,"520 South St, Rewari, Hr 123500"
224336,iPhone,1,700.0,09/01/19 11:10,"19 Cherry St, Bengaluru, Ch 123589"
224337,27in FHD Monitor,1,149.99,09/15/19 16:53,"188 5th St, New Delhi, Dl 122400"
224338,Bose SoundSport Headphones,1,99.99,09/18/19 13:20,"479 Center St, Rewari, Hr 123500"
224339,Lightning Charging Cable,1,14.95,09/15/19 09:33,"408 Forest St, Indore, In 126756"
224340,AA Batteries (4-pack),1,3.84,09/20/19 10:17,"505 Commercial Street St, Kolkata, TL 135523"
224341,Wired Headphones,1,11.99,09/05/19 21:54,"421 Sunset St, Indore, In 126756"
224342,27in FHD Monitor,1,149.99,09/27/19 11:03,"446 Highland St, Noida, UP 123512"
224343,USB-C Charging Cable,1,11.95,09/10/19 19:14,"301 Sitabuldi Main Road St, Bengaluru, Ch 123589"
224344,AA Batteries (4-pack),2,3.84,09/29/19 11:15,"936 12th St, Noida, UP 123512"
224345,AA Batteries (4-pack),1,3.84,09/19/19 14:51,"273 Cherry St, New Delhi, Dl 122400"
224346,iPhone,1,700.0,09/20/19 13:11,"194 Hickory St, Kolkata, TL 135523"
224347,AA Batteries (4-pack),2,3.84,09/09/19 20:08,"169 Lakeview St, Bengaluru, Ch 123589"
224348,USB-C Charging Cable,1,11.95,09/12/19 15:41,"420 9th St, New Delhi, Dl 122400"
224349,Bose SoundSport Headphones,1,99.99,09/07/19 16:09,"279 Madison St, Noida, UP 123512"
224350,iPhone,1,700.0,09/23/19 12:01,"735 2nd St, Noida, UP 123512"
224350,Wired Headphones,1,11.99,09/23/19 12:01,"735 2nd St, Noida, UP 123512"
224351,27in FHD Monitor,1,149.99,09/26/19 08:40,"949 Forest St, Noida, UP 123512"
224352,USB-C Charging Cable,1,11.95,09/27/19 08:37,"75 14th St, Noida, UP 123512"
224353,AA Batteries (4-pack),1,3.84,09/14/19 15:45,"575 14th St, Noida, Hr 132500"
224354,Wired Headphones,1,11.99,09/14/19 19:32,"745 Dogwood St, Bengaluru, Ch 123589"
224355,Wired Headphones,1,11.99,09/13/19 11:51,"165 MG Road Bangalore St, Rewari, Hr 123500"
224356,AA Batteries (4-pack),2,3.84,09/16/19 14:25,"644 Cherry St, Surat, GU 129870"
224357,AAA Batteries (4-pack),1,2.99,09/21/19 21:21,"521 Madison St, Kolkata, TL 135523"
224358,Wired Headphones,1,11.99,09/13/19 18:20,"661 Adams St, Noida, UP 123512"
224358,AAA Batteries (4-pack),1,2.99,09/13/19 18:20,"661 Adams St, Noida, UP 123512"
224359,Wired Headphones,1,11.99,09/18/19 08:41,"717 Cherry St, Noida, UP 123512"
224360,Apple Airpods Headphones,1,150.0,09/17/19 19:09,"663 1st St, Indore, In 126756"
224361,Lightning Charging Cable,1,14.95,09/08/19 18:27,"518 2nd St, Bengaluru, Ch 123589"
224362,USB-C Charging Cable,1,11.95,09/03/19 13:22,"364 Cherry St, Pune, MH 123249"
224363,USB-C Charging Cable,1,11.95,09/06/19 23:43,"492 Rajpath St, Rewari, Hr 123500"
224364,AAA Batteries (4-pack),1,2.99,09/20/19 19:16,"112 Hill St, Bengaluru, Ch 123589"
224365,Bose SoundSport Headphones,1,99.99,09/25/19 07:57,"410 Cherry St, Noida, Hr 132500"
224366,USB-C Charging Cable,1,11.95,09/24/19 11:28,"547 MG Road Bangalore St, Rewari, Hr 123500"
224367,27in FHD Monitor,1,149.99,09/27/19 11:43,"856 5th St, Noida, UP 123512"
224368,Bose SoundSport Headphones,1,99.99,09/15/19 15:56,"811 Sunset St, Surat, GU 129870"
224369,USB-C Charging Cable,1,11.95,09/10/19 16:53,"384 1st St, Pune, MH 123249"
224370,Wired Headphones,1,11.99,09/12/19 15:12,"395 Meadow St, Noida, Hr 132500"
224371,Wired Headphones,1,11.99,09/12/19 20:09,"454 12th St, Rewari, Hr 123500"
224372,AAA Batteries (4-pack),1,2.99,09/11/19 15:44,"89 Sunset St, Noida, Hr 132500"
224373,Apple Airpods Headphones,1,150.0,09/29/19 13:48,"351 Hill St, Kolkata, TL 135523"
224374,Apple Airpods Headphones,1,150.0,09/26/19 10:02,"421 Chestnut St, New Delhi, Dl 122400"
224375,Lightning Charging Cable,2,14.95,09/19/19 14:23,"223 12th St, New Delhi, Dl 122400"
